CD114_Name,FIPS,State_FIPS,CD114_FIPS,StateCode,long,lat
NV-01,3201,32,01,NV,-115.151630001628,36.1377176808494
NV-03,3203,32,03,NV,-115.114860204999,35.7321172278239
NV-04,3204,32,04,NV,-116.000592008846,38.0905935839986
NV-02,3202,32,02,NV,-117.305501751574,40.6450107609443
NH-01,3301,33,01,NH,-71.2196269900421,43.4690657029189
NH-02,3302,33,02,NH,-71.7175115067534,43.7711201327896
NJ-12,3412,34,12,NJ,-74.5661924811598,40.3702325648317
NJ-05,3405,34,05,NJ,-74.6302001220686,41.0569382694098
NJ-06,3406,34,06,NJ,-74.2538016463246,40.4617930158581
NJ-10,3410,34,10,NJ,-74.2146272205826,40.7097798494479
NJ-01,3401,34,01,NJ,-75.0593820941817,39.7888884161704
NJ-08,3408,34,08,NJ,-74.1082696113124,40.7239116085751
NJ-09,3409,34,09,NJ,-74.0773047155548,40.8638630253183
NJ-02,3402,34,02,NJ,-74.8835235532489,39.4737920060443
NJ-07,3407,34,07,NJ,-74.7865910790764,40.6240157390866
NJ-03,3403,34,03,NJ,-74.5311005492495,39.9192595334594
NJ-11,3411,34,11,NJ,-74.4504745298977,40.9037865749812
NJ-04,3404,34,04,NJ,-74.3258095443891,40.1648866550914
NM-03,3503,35,03,NM,-105.821467119432,35.9956135184773
NM-02,3502,35,02,NM,-106.29745512019,33.3803998395193
NM-01,3501,35,01,NM,-106.05475183312,34.7683641745628
NY-23,3623,36,23,NY,-77.748967621212,42.329897069237
NY-14,3614,36,14,NY,-73.8394358177345,40.8122444124457
NY-04,3604,36,04,NY,-73.612587681371,40.6676426457811
NY-20,3620,36,20,NY,-73.9898273316536,42.7452959243339
NY-03,3603,36,03,NY,-73.5041479814162,40.8359495096286
NY-01,3601,36,01,NY,-72.6266627303262,40.9221758510534
NY-07,3607,36,07,NY,-73.972335621662,40.6930320982551
NY-26,3626,36,26,NY,-78.8428919037119,42.9649035294364
NY-06,3606,36,06,NY,-73.8270930722955,40.733571654145
NY-11,3611,36,11,NY,-74.132334001126,40.5890541294042
NY-15,3615,36,15,NY,-73.9013370724646,40.829584344359
NY-05,3605,36,05,NY,-73.7783543296452,40.6618716288308
NY-18,3618,36,18,NY,-74.0782047952864,41.4118205138317
NY-24,3624,36,24,NY,-76.5366649699413,43.0622542478611
NY-25,3625,36,25,NY,-77.6810132075108,43.1616018724748
NY-27,3627,36,27,NY,-78.2215353041946,42.8914163462947
NY-12,3612,36,12,NY,-73.9590490265099,40.7633306794331
NY-13,3613,36,13,NY,-73.912571817042,40.8714405894959
NY-02,3602,36,02,NY,-73.2803377196049,40.71247876321
NY-08,3608,36,08,NY,-73.9011835519754,40.6130124107759
NY-16,3616,36,16,NY,-73.8192405043237,40.9433088629884
NY-19,3619,36,19,NY,-74.4203840993377,42.2162115715268
NY-09,3609,36,09,NY,-73.9484243079574,40.6380478811566
NY-22,3622,36,22,NY,-75.6550617716751,42.875154812095
NY-21,3621,36,21,NY,-74.5509610678868,44.0223958075839
NY-17,3617,36,17,NY,-73.9112773272339,41.1568536029607
NY-10,3610,36,10,NY,-74.0145649420965,40.6409702605826
NC-02,3702,37,02,NC,-79.2966968128932,35.4459499783179
NC-12,3712,37,12,NC,-80.4419715026022,35.6450651556739
NC-06,3706,37,06,NC,-79.6838371155264,36.3075774903719
NC-05,3705,37,05,NC,-80.9690367256232,36.1421275155776
NC-01,3701,37,01,NC,-77.5125483476758,36.0985415581002
NC-04,3704,37,04,NC,-78.9941520160473,35.7075786586347
NC-11,3711,37,11,NC,-82.7741342213484,35.5398233214564
NC-13,3713,37,13,NC,-78.2135700681277,35.7843806661582
NC-09,3709,37,09,NC,-80.8416691297628,35.3890350337919
NC-07,3707,37,07,NC,-78.3426598176838,34.721832425561
NC-10,3710,37,10,NC,-81.6310416023948,35.4312236463258
NC-03,3703,37,03,NC,-76.6514646586599,35.4216797110594
NC-08,3708,37,08,NC,-79.9114564231419,35.1065581718656
ND-00,3800,38,00,ND,-100.468807188524,47.4463179185034
OH-15,3915,39,15,OH,-82.7539022856066,39.5773468110522
OH-07,3907,39,07,OH,-82.0587021631671,40.7097012995124
OH-16,3916,39,16,OH,-81.739374331291,40.9783697404559
OH-09,3909,39,09,OH,-82.9523315201437,41.2371008899673
OH-14,3914,39,14,OH,-81.0051859707696,41.553458977845
OH-10,3910,39,10,OH,-83.9554338413964,39.7003093451811
OH-13,3913,39,13,OH,-80.9717424309674,41.1556143017064
OH-03,3903,39,03,OH,-82.9489492098691,39.9733373908403
OH-02,3902,39,02,OH,-83.5658626063014,39.0195713502723
OH-12,3912,39,12,OH,-82.6111967672972,40.2368862085639
OH-06,3906,39,06,OH,-81.552599628365,39.7764276649505
OH-05,3905,39,05,OH,-84.040846492954,41.1546264362043
OH-01,3901,39,01,OH,-84.3450993061745,39.3376775316591
OH-08,3908,39,08,OH,-84.4149948682441,39.9036683688377
OH-04,3904,39,04,OH,-83.4771819850521,40.716198727132
OH-11,3911,39,11,OH,-81.5872256552702,41.3636292050336
OK-05,4005,40,05,OK,-96.9965057569243,35.3052322085763
OK-04,4004,40,04,OK,-97.7523150893203,34.579993394219
OK-02,4002,40,02,OK,-95.4516806089306,35.1567513381046
OK-03,4003,40,03,OK,-98.8391369459003,36.1213841518556
OK-01,4001,40,01,OK,-95.7876474796181,36.2118657558848
OR-05,4105,41,05,OR,-123.125665994789,45.0171394596073
OR-02,4102,41,02,OR,-119.552644992024,43.8593795020561
OR-04,4104,41,04,OR,-123.215678028452,43.4978745077857
OR-01,4101,41,01,OR,-123.295322647147,45.6963067661558
OR-03,4103,41,03,OR,-122.20135956704,45.3913905489848
PA-14,4214,42,14,PA,-79.8956262568308,40.4286650189636
PA-09,4209,42,09,PA,-78.6756130757126,40.144060577877
PA-17,4217,42,17,PA,-75.8008129483698,40.891443103528204
PA-06,4206,42,06,PA,-75.8039673822336,40.2541706503775
PA-16,4216,42,16,PA,-76.2070198713962,40.0216400920705
PA-18,4218,42,18,PA,-80.0253336452794,40.1581246601861
PA-02,4202,42,02,PA,-75.2177774738994,40.0160315865407
PA-13,4213,42,13,PA,-75.1526569351089,40.1217918498449
PA-04,4204,42,04,PA,-76.9145511452989,39.9263696556912
PA-10,4210,42,10,PA,-76.5158450727677,41.3764340810829
PA-01,4201,42,01,PA,-75.1807450474364,39.9421324927948
PA-15,4215,42,15,PA,-75.949796677458,40.5313743705564
PA-07,4207,42,07,PA,-75.7149768134016,40.0393856010645
PA-08,4208,42,08,PA,-75.1543498449119,40.3334333674352
PA-11,4211,42,11,PA,-76.4488599294154,40.8869678493316
PA-05,4205,42,05,PA,-78.5749378461529,41.382345462843404
PA-03,4203,42,03,PA,-79.9806266894055,41.2524031782329
PA-12,4212,42,12,PA,-79.4975087965786,40.4253100305124
RI-01,4401,44,01,RI,-71.3474680711331,41.7208514624558
RI-02,4402,44,02,RI,-71.6148383928015,41.6361394290737
SC-04,4504,45,04,SC,-82.1760907755253,34.9394238161206
SC-05,4505,45,05,SC,-81.0191092433215,34.5381840450168
